datetime,open,high,low,close,volume
2024-01-01 00:00:00,150.242,150.278,149.897,150.149,2013
2024-01-01 01:00:00,150.175,150.197,149.969,149.984,1959
2024-01-01 02:00:00,150.105,150.447,150.09,150.245,1354
2024-01-01 03:00:00,150.589,150.834,150.53,150.532,1203
2024-01-01 04:00:00,149.965,150.037,149.338,150.03,1691
2024-01-01 05:00:00,150.007,150.606,149.739,150.055,1401
2024-01-01 06:00:00,150.565,150.635,150.478,150.625,2630
2024-01-01 07:00:00,150.32,150.562,150.249,150.406,1140
2024-01-01 08:00:00,150.065,150.312,149.974,150.06,2768
2024-01-01 09:00:00,150.306,150.798,150.008,150.389,1503
2024-01-01 10:00:00,150.139,150.39,149.896,150.112,1117
2024-01-01 11:00:00,150.132,150.46,150.091,150.137,2186
2024-01-01 12:00:00,150.35,150.457,150.312,150.374,2600
2024-01-01 13:00:00,149.662,150.09,149.641,149.753,2167
2024-01-01 14:00:00,149.777,149.851,149.561,149.834,2372
2024-01-01 15:00:00,150.284,150.734,149.919,150.208,1616
2024-01-01 16:00:00,150.148,150.307,150.037,150.098,1352
2024-01-01 17:00:00,150.424,150.861,150.419,150.521,1655
2024-01-01 18:00:00,150.19,150.31,150.163,150.18,2612
2024-01-01 19:00:00,150.129,150.335,149.366,150.054,982
2024-01-01 20:00:00,150.775,151.092,150.705,150.942,2374
2024-01-01 21:00:00,150.514,150.777,150.167,150.46,1196
2024-01-01 22:00:00,150.507,150.59,150.311,150.573,2527
2024-01-01 23:00:00,150.208,150.22,150.054,150.15,2317
2024-01-02 00:00:00,150.363,150.496,150.317,150.44,1706
2024-01-02 01:00:00,150.481,150.696,150.455,150.661,2156
2024-01-02 02:00:00,150.145,150.719,149.954,150.308,2974
2024-01-02 03:00:00,150.796,150.845,150.493,150.791,800
2024-01-02 04:00:00,150.549,151.294,150.317,150.523,818
2024-01-02 05:00:00,150.551,150.723,150.4,150.641,1383
2024-01-02 06:00:00,150.637,150.677,150.565,150.573,1255
2024-01-02 07:00:00,151.168,151.646,150.477,151.335,2836
2024-01-02 08:00:00,150.793,151.015,150.473,150.8,1932
2024-01-02 09:00:00,150.391,150.65,150.321,150.512,2752
2024-01-02 10:00:00,151.036,151.263,150.254,151.101,2950
2024-01-02 11:00:00,150.518,150.772,150.329,150.513,1787
2024-01-02 12:00:00,150.881,151.019,150.706,150.967,1319
2024-01-02 13:00:00,150.303,151.463,150.028,150.342,1658
2024-01-02 14:00:00,150.657,151.393,150.222,150.556,973
2024-01-02 15:00:00,150.981,151.249,150.768,151.039,2166
2024-01-02 16:00:00,151.31,151.355,151.199,151.227,1526
2024-01-02 17:00:00,150.969,151.31,150.886,151.082,2510
2024-01-02 18:00:00,151.074,151.089,150.494,151.021,2675
2024-01-02 19:00:00,151.134,151.14,150.939,150.99,2481
2024-01-02 20:00:00,150.415,150.722,150.322,150.662,2147
