datetime,open,high,low,close,volume
2024-01-01 00:00:00,145.000,145.500,144.800,145.200,1000
2024-01-01 01:00:00,145.200,145.800,145.100,145.600,1200
2024-01-01 02:00:00,145.600,145.900,145.400,145.300,1100
2024-01-01 03:00:00,145.300,145.400,144.900,145.000,1300
2024-01-01 04:00:00,145.000,145.100,144.700,144.800,1000
2024-01-01 05:00:00,144.800,145.200,144.600,145.100,1100
2024-01-01 06:00:00,145.100,145.500,145.000,145.400,1200
2024-01-01 07:00:00,145.400,145.800,145.300,145.700,1300
2024-01-01 08:00:00,145.700,146.000,145.600,145.900,1400
2024-01-01 09:00:00,145.900,146.200,145.800,146.100,1500
